YEAR;MONTH;DAY;PERIOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
2018;1;1;1;16,07;8,15;34,23;54,97;48,39;15,66;9,42;21,32;44,85;6,66;28,23;23,5;21,51;75,82;73,45;49,44;22,78;63,06;40,75;43,66;85,01;62,7;34,58;29,53;58,45;4,34;28,04;32,78;50,93;7,97;45,64;8,29;50,27;84,71;1,38
2018;1;1;2;13,11;9,38;18,7;49,84;56,53;19,46;10,67;12,1;52,7;6,94;26,47;18,24;24,35;63,68;68,68;51,53;27,58;62,42;40,86;39,84;85,05;62,7;34,79;23,35;51,17;3,94;30,19;37,33;52,24;5,29;35,28;11,1;41,49;86,05;4,09
2018;1;1;3;14,36;8,45;17,37;33,08;54,31;15,4;34,79;13,4;53,18;3,58;16,8;33,63;29,24;59,62;62,64;41,03;26,34;71,33;32,8;41,28;73,25;62,7;33,35;18,4;50,61;3,49;22,93;34,87;80,68;2,36;39,18;7,58;22,23;77,09;7,49
2018;1;1;4;12,28;14,17;17,17;29,58;47,37;15,98;40,79;14,51;49,88;3,88;20,53;36,66;33,87;54,83;55,89;33,22;23,39;72,13;38,06;52,3;74,96;59,61;36,1;21,88;49,74;2,25;27,26;34,69;69,61;2,55;41,15;6,46;20,79;65,57;6,5
2018;1;1;5;11,8;20,15;16,37;37,31;58,47;18,36;25,11;12,36;51,1;2,86;30,6;26,41;39,26;63,09;56,2;42,67;16;64,43;39,03;53,13;89,79;71,52;37,93;25,85;47,64;2;38,28;34,52;51,53;4,53;41,61;11,3;32,44;49,05;4,34
2018;1;1;6;15,94;14,31;35,91;39,55;51,42;27,75;22,36;26,28;58,87;2,96;17,79;27,07;38,66;87,2;59,59;39,22;17,88;61,39;25,92;49,95;93,6;65;42,99;17,02;73,29;5,09;41,43;35,49;52,05;4,09;49,01;11,23;17,51;65,1;3,26
2018;1;1;7;14,08;11,9;33,84;42,4;46,43;35,21;24,22;20,06;58,3;2,84;15,69;32,45;39,98;85,51;54,56;41,26;16,31;70,3;21,39;48,19;92,03;60,87;41,28;17,01;71,76;7,34;46,28;33,9;69,56;4,09;36,95;13,2;12,72;69,26;3,4
2018;1;1;8;15,39;10,3;25,94;37,32;49,77;36,78;23,67;18,26;47,27;4,73;29,26;24,91;49,21;84,68;42,9;53,2;16,09;74,4;23,46;48,16;90,25;84,14;45,12;19,64;62,89;6,2;45,46;34,9;78,19;3,5;29,36;9,52;22,1;71,54;3,16
2018;1;1;9;17,71;17,24;26,74;28,91;51,58;31,82;18,2;22,25;45,04;5,22;37,13;19,33;54,9;81,91;44,12;57,44;16,07;71,96;34,26;59,42;89,03;88,58;45,01;25,95;65,79;9,03;40,16;37,28;71,54;4,82;33,5;5,59;27,12;69,9;2,85
2018;1;1;10;20,31;5,94;30,22;34,73;49,37;28,44;13,09;22,49;35,68;7,46;30,86;31,59;50,58;83,31;41,18;48,48;14,06;82,63;19,87;58,97;90,15;93,18;46,02;9,07;67,5;9,13;48,76;36,74;85,39;1,48;19,86;4,5;19,45;77,63;1,97
2018;1;1;11;25,36;6,12;27,98;35,05;48,13;26,93;8,97;18,92;27,48;6,75;23,26;39,58;58,21;77,44;38,3;41,47;12,28;81,64;15,33;58,95;87,6;91,83;45,54;4,87;65,68;9,28;52,43;31,93;83,38;2,04;11,29;2,84;12,56;73,49;0,65
2018;1;1;12;22,93;5,72;11,86;33,49;43,74;29,85;6,58;13,17;28,65;8,14;18,39;32,13;59,05;73,85;35,94;32,59;10,78;87,06;7,97;61,68;85,94;93,23;44,03;2,35;64,82;10,75;55,03;29,82;82,27;1,71;7,85;2,88;10,19;65,11;0
2018;1;1;13;28,51;9,99;2,12;37,61;49,45;34,76;9,17;8,38;26,29;11,01;29,71;34,32;77,31;65,38;33,06;39,91;9,51;88,12;7,54;58,48;88,44;92,88;49,84;4,29;44,82;10,87;56,55;28,88;77,84;1,38;4,64;6,6;17,1;62,21;0,45
2018;1;1;14;31;14,47;1,61;36,64;43,76;44,95;9,7;11,03;28,11;13,16;31,71;41,24;87,26;69,04;41,74;34,53;12,56;92,44;7,15;59,95;85,21;92,59;57,84;4,98;47;17;52,87;32,96;77,84;0,83;7,19;5,99;16,02;68,57;0,43
2018;1;1;15;29,56;14,07;2,35;42,14;55,42;45,55;14,95;10,87;28,85;16,7;30,94;49,66;89,57;73,04;37,78;33,24;11,03;89,15;5,69;59,05;80,19;90,63;58,19;4,6;54,41;15,12;52,06;32,04;77,84;0,41;11,57;5,78;15,09;68,95;1,53
2018;1;1;16;32,14;10,29;3,9;41,53;57,85;45,97;12,11;10,41;29,18;17,02;24,81;31,46;92,01;71,7;34,22;34,03;11,37;68,27;3,68;57,8;77,98;88,57;61,17;5;56,18;17,85;45,33;28,7;77,54;0,37;15,56;6,89;15,48;55,22;1,87
2018;1;1;17;36,17;18,06;2,62;41,84;58,97;49,79;11,27;5,43;30,49;28,3;29,25;24,59;92,77;68,39;32,41;36,67;10,07;69,1;5,33;52,23;79,76;77,64;59,68;8,69;57,33;19,94;53,67;28,31;77,54;0,58;15,6;9,17;12,52;38,96;2,48
2018;1;1;18;40,72;24,91;2,9;41,95;59,39;43,92;16,68;6,72;30,64;38,33;22,15;28,4;93,51;77,47;31,47;34,31;6,66;70,41;6,4;49,18;80,26;66,1;53,05;13,49;67,69;19,86;55,67;23,89;77,54;1,37;10,68;11,07;7,31;24,9;6,96
2018;1;1;19;43,61;20,42;1,05;43,93;59,25;36,75;24,05;4,75;40,29;38,21;17,48;34,3;84,82;68,26;30,66;29,11;5,96;59,73;5,15;49,66;72,23;56,27;55,79;13,83;55,97;26,15;52,05;21;77,54;2,86;7,67;11,18;6,2;20,02;9,05
2018;1;1;20;32,34;19,33;0,79;50,55;57,7;36,32;16,27;7,74;34,19;42,06;20,27;32,48;76,45;76,1;31,69;35,76;12,93;43,97;4,91;45,5;76,1;57,29;59,82;18,73;72,4;24,3;57,74;20,57;75,52;5,46;11,06;15,09;9,62;22,4;7,27
2018;1;1;21;25,3;17,99;1,07;51,4;54,4;32,89;12,56;11,89;27,73;40,62;11,58;33,44;83,34;87,43;37,63;31,27;15,76;29,68;3,15;49,77;61,17;52,71;62,55;19,87;85,31;21,82;51,1;21,99;71,71;5,62;9,85;10,29;8,87;26,42;6,05
2018;1;1;22;36,46;15,01;2,4;47,13;48,26;33,14;13,43;18,49;40,44;37,71;8,7;39,2;86,63;82,02;61,47;24,01;15,51;23,97;1,34;45,26;51,87;41,72;59,95;18,01;86,39;35,86;43,89;20,11;70,02;5,81;8,65;8,92;7,77;27,14;4,72
2018;1;1;23;42,68;20,69;6,64;41,12;36,4;40,84;13,05;21,93;39,6;38,87;10,29;49,24;92,72;70,09;61,78;22,88;18,61;24,59;5,62;46,77;51,5;37,96;71,01;28,4;76,46;34,51;44,88;25;83,76;10,14;7,04;9,51;6,34;39,78;3,81
2018;1;1;24;41,39;27,52;6,71;47,04;34,87;40,76;10,7;16,91;38,85;45,24;21,25;54,93;92,02;57,36;57,96;30,66;17,04;32,52;8,76;45,77;58,46;50;62,9;32,32;74,45;34,53;47,54;26,27;83,86;10,92;6,89;13,03;9,98;43,48;3,36
