YEAR;MONTH;DAY;PERIOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
2018;1;1;1;46,38;15,59;12,33;30,38;44,2;52,33;8,66;22,86;24,94;35,79;31,72;47,03;49,33;62,56;65,52;48,08;14,11;34,63;41,95;70,36;51,11;42,53;12,47;18,64;60,12;18,17;27,11;8,81;56,19;6,74;19,01;4,12;19,12;58;2,9
2018;1;1;2;45,61;13,18;11,74;28,7;42,91;50,24;8,8;23,39;24,09;38,74;31,02;48,26;51,36;62,3;63,99;50,26;13,44;35,93;40,61;70,61;55,29;46,77;11,28;17,44;59,82;21,89;28,83;9,49;59,2;6,42;15,48;3,61;18,69;57,8;3,29
2018;1;1;3;43,23;11,59;11,49;27,64;40,64;47,23;8,77;23,46;24,25;40,79;30,97;49,27;53,17;64,7;61,95;50,78;13,17;35,93;40,81;68,24;60,03;51,08;10,58;16,77;59,36;26,26;29,31;10,61;64,91;6,2;13;3,26;18,12;57,3;2,89
2018;1;1;4;40,06;10,73;12,3;26,71;33,5;44,31;9,14;23,61;25,25;41,78;31,34;50,09;54,9;68,55;59,9;52,48;13,16;35,6;41,05;65,61;63,73;57,18;11,18;16,29;58,6;29,87;28,79;11,85;66,9;6,1;11,58;3,12;17,17;56,81;2,68
2018;1;1;5;37,4;10,11;13,9;25,56;28,52;42,68;10,06;23,86;25,36;42,2;31,68;49,99;56,3;71,22;57,07;54,17;12,98;35,78;39,32;64,37;65,79;63,71;11,96;16,39;57,98;31,84;28,53;13,49;67;6,12;10,5;3,3;15,68;58,03;2,58
2018;1;1;6;35,31;9,55;15,67;24,69;25,57;41,29;11,26;24,16;25,55;41,77;31,77;49,89;57,4;72,84;52,97;54,72;12,38;35,97;35,38;65,07;66,49;67,7;12,38;16,32;58,94;32,75;28,65;15,71;67,99;6,27;9,8;3,77;14,22;55,5;2,64
2018;1;1;7;33,53;9,09;17,27;23,96;22,56;39,67;12,25;24,45;25,38;40,66;31,46;50,28;57,22;72,84;51,65;54,3;11,85;37,33;31,55;66,53;66,8;69,6;12,65;15,54;60,16;33,54;28,75;18,44;71,57;6,54;9,31;4,29;12,67;51,45;2,98
2018;1;1;8;32,03;8,6;18,01;22,64;19,36;37,52;13,12;24,5;25,23;38,66;28,65;51,15;58,27;71,35;50,7;51,92;11,64;38,53;28,65;66,41;67,53;70,3;12,85;13,82;59,52;34,44;29,21;21,25;75,34;6,69;8,87;4,95;11,32;48,12;3,37
2018;1;1;9;29,73;7,39;15,11;19,54;14,88;35,62;12,83;21,83;24,73;35;23,45;50,56;60,29;69,65;48,61;46,89;10,79;38,82;24,84;65,52;69,85;68,22;12,79;10,33;56,3;33,67;28,9;20,62;78,05;5,66;7,93;5,24;9,48;44,01;2,91
2018;1;1;10;25,58;5,53;11,48;16,66;11,42;34,88;11,15;18,11;22,88;30,53;21,48;48,84;62,57;69,07;46,85;41,92;9,06;38,9;22,88;66,06;74,01;67,32;13,13;6,33;52,71;32,43;30,7;16,52;80,75;4,08;6,29;3,77;7,11;38,87;2,07
