YEAR;MONTH;DAY;PERIOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
2018;1;1;1;26180;29677;27923;29687;28035;27966;27194;28887;29253;26585;29480;29096;27728;26242;27391;27675;27373;27352;29799;29482;29712;26973;28354;28504;27982;26616;29241;28155;27250;28268;28161;28966;28702;29959;28701
2018;1;1;2;24629;27852;26234;27958;26411;26296;25553;27126;27550;24976;27669;27351;26065;24674;25793;26105;25756;25696;27993;27796;27902;25316;26613;26794;26366;24992;27491;26496;25638;26623;26455;27256;27025;28133;26905
2018;1;1;3;23742;26792;25266;26960;25475;25335;24604;26113;26569;24052;26620;26339;25102;23777;24880;25211;24827;24734;26943;26831;26854;24362;25607;25808;25438;24056;26482;25543;24712;25681;25471;26275;26061;27070;25871
2018;1;1;4;23292;26252;24784;26464;25008;24856;24120;25608;26082;23589;26086;25828;24617;23325;24433;24783;24365;24242;26405;26366;26318;23880;25093;25315;24974;23580;25970;25065;24248;25217;24982;25794;25585;26528;25346
2018;1;1;5;23082;26007;24628;26234;24809;24693;23911;25429;25862;23399;25853;25562;24380;23148;24301;24657;24202;23993;26122;26231;26025;23695;24876;25118;24765;23367;25735;24863;24055;25047;24814;25641;25422;26278;25136
2018;1;1;6;22955;25778;24561;26090;24732;24620;23807;25311;25693;23322;25651;25357;24234;23116;24327;24698;24156;23815;25850;26245;25707;23612;24742;24950;24673;23235;25550;24802;23966;24977;24705;25592;25352;26076;25008
2018;1;1;7;24470;27073;25826;27550;26242;25902;25206;26487;27139;24768;26867;26784;25751;24546;25699;26215;25505;25319;27169;27614;27015;24939;26043;26094;26270;24631;26863;26335;25382;26311;25866;26897;26623;27344;26409
2018;1;1;8;26836;29346;27908;29956;28618;27994;27437;28516;29485;27055;29028;29162;28196;26746;27832;28547;27661;27727;29485;29799;29337;27078;28229;28109;28761;26900;29090;28720;27639;28472;27861;29044;28708;29562;28735
2018;1;1;9;29736;32448;30654;33040;31565;30746;30294;31308;32545;29914;32011;32263;31232;29494;30506;31361;30390;30746;32611;32581;32507;29834;31117;30886;31805;29777;32060;31704;30467;31269;30571;31850;31462;32584;31768
2018;1;1;10;31803;34894;32741;35458;33752;32821;32447;33508;34933;32032;34374;34711;33507;31544;32474;33427;32391;32973;35127;34717;35105;31889;33328;33078;34050;31899;34403;33957;32572;33428;32673;33983;33574;35015;34061
2018;1;1;11;32508;35786;33404;36448;34566;33484;33196;34221;35890;32779;35188;35714;34379;32278;33096;34171;32993;33750;36119;35462;36203;32543;34059;33838;34920;32619;35274;34809;33328;34225;33345;34680;34270;35924;34809
2018;1;1;12;33415;36755;34124;37401;35405;34229;33992;34979;36945;33582;36035;36705;35263;33040;33734;34936;33651;34613;37121;36165;37299;33226;34802;34670;35852;33439;36160;35681;34110;35048;34077;35412;35013;36804;35614
2018;1;1;13;32258;35760;32988;36522;34377;33101;32921;33946;35964;32514;35036;35810;34209;31969;32629;33986;32543;33435;36262;35181;36425;32009;33673;33703;34807;32348;35190;34679;32991;34103;33063;34386;33916;35899;34510
2018;1;1;14;31021;34191;31497;35101;33048;31629;31529;32376;34504;31187;33433;34338;32825;30661;31257;32855;31175;32043;34754;33740;34847;30506;32135;32206;33529;31014;33675;33321;31604;32719;31558;32936;32423;34307;32997
2018;1;1;15;31190;34148;31480;35045;33083;31640;31537;32344;34485;31242;33380;34272;32787;30702;31297;32879;31244;32095;34707;33695;34701;30452;32064;32178;33607;31077;33613;33348;31576;32698;31516;32949;32399;34176;33013
2018;1;1;16;31604;34539;31884;35354;33428;32057;31900;32768;34850;31615;33778;34589;33073;31065;31690;33273;31649;32449;35062;34054;34997;30803;32418;32579;33955;31455;33965;33706;31895;33059;31915;33361;32787;34507;33444
2018;1;1;17;32960;36149;33455;36691;34759;33629;33308;34439;36282;32997;35438;35964;34334;32429;33150;34616;33141;33827;36554;35506;36432;32285;33943;34152;35252;32880;35462;35072;33237;34470;33495;34922;34326;36027;35075
